respondent_id_number,number_of_children,age_of_respondent,highest_year_of_school_completed,highest_year_school_completed_father,highest_year_school_completed_mother,highest_year_school_completed_spouse,college_major_1,college_major_2,diploma_ged_or_other,respondents_sex,number_of_brothers_and_sisters,labor_force_status,number_of_hours_worked_last_week,number_of_hours_usually_work_a_week,self_emp_or_works_for_somebody,govt_or_private_employee,occupation_code,marital_status,marital_type,race_of_respondent,born_in_us,should_govt_reduce_income_differences,favor_or_oppose_death_penalty_for_murder,should_marijuana_be_made_legal,rs_religious_preference,specific_denomination,other_protestant_denominations,general_happiness,condition_of_health,is_life_exciting_or_dull,ballot_used_for_interview,parks_and_recreation,mass_transportation,number_of_persons_in_household,total_family_income,respondents_income,region_of_interview,size_of_place_in_1000s,political_party_affiliation,think_of_self_as_liberal_or_conservative,space_exploration_program,improving_protecting_environment,improving_protecting_nations_health,lived_in_us
1375,3,41,16,NA,NA,14,Nursing,NA,High school diploma,Female,5,Working fulltime,40,NA,Someone else,Private,Registered nurses,Married,Marriage between a man and a woman,Black,Yes,2,NA,NA,Protestant,Other,Pentecostal,Pretty happy,Good,Exciting,Ballot c,About right,About right,2,$25000 or more,$25000 or more,South Atlantic,7,Democrat,Moderate,NA,NA,NA,NA
1376,1,29,14,12,13,NA,NA,NA,High school diploma,Female,2,Working fulltime,53,NA,Someone else,Private,Dining room and cafeteria attendants and bartender helpers,Divorced,NA,White,Yes,3,Favor,Legal,NA,NA,NA,Pretty happy,NA,NA,Ballot b,Too little,About right,2,$25000 or more,$25000 or more,South Atlantic,7,NA,Moderate,About right,Too little,Too little,NA
1377,1,38,16,12,12,12,Food science/nutrition/culinary arts,NA,High school diploma,Female,1,Working fulltime,3,NA,Self-employed,Private,Maids and housekeeping cleaners,Married,Marriage between a man and a woman,White,Yes,6,Favor,Legal,None,NA,NA,Very happy,Good,Exciting,Ballot c,About right,About right,2,$25000 or more,$20000 - 24999,South Atlantic,7,NA,Conservative,Too little,About right,Too little,NA
1378,1,42,15,NA,12,NA,NA,NA,High school diploma,Female,1,Working fulltime,40,NA,Someone else,Private,Personal care aides,Divorced,NA,White,Yes,NA,Favor,NA,Christian,No denomination,NA,Pretty happy,Fair,Exciting,Ballot a,Too little,Too little,1,$25000 or more,$25000 or more,South Atlantic,7,Republican,Moderate,NA,NA,NA,NA
1379,2,69,13,12,12,NA,NA,NA,High school diploma,Female,1,Retired,NA,NA,Someone else,Private,"Production, planning, and expediting clerks",Divorced,NA,White,Yes,Govt reduce diff,Favor,NA,Protestant,United methodist,NA,Pretty happy,Poor,Routine,Ballot c,About right,About right,1,$25000 or more,(Missing),South Atlantic,7,Democrat,Slghtly conservative,Too much,About right,Too little,NA
1380,1,29,16,12,16,16,Education,NA,High school diploma,Female,0,Working fulltime,40,NA,Someone else,Government,Elementary and middle school teachers,Married,Marriage between a man and a woman,Black,Yes,NA,NA,NA,Protestant,Other,United Holiness,Very happy,Excellent,Routine,Ballot a,About right,Too little,2,$25000 or more,$25000 or more,South Atlantic,7,Democrat,Moderate,NA,Too much,Too much,NA
1381,4,33,3,3,5,6,NA,NA,NA,Male,7,School,NA,NA,Self-employed,Government,Construction laborers,Married,Marriage between a man and a woman,Other,No,Govt reduce diff,Favor,Not legal,Catholic,NA,NA,Pretty happy,Fair,Dull,Ballot c,Too little,About right,2,$10000 - 14999,(Missing),South Atlantic,7,Independent,Liberal,NA,NA,NA,10
1382,1,27,14,NA,12,12,NA,NA,Ged,Male,0,Working fulltime,45,NA,Someone else,Government,Stock clerks and order fillers,Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,None,NA,NA,Very happy,Excellent,Exciting,Ballot a,Too little,About right,3,$25000 or more,$25000 or more,South Atlantic,6,NA,Moderate,NA,NA,NA,NA
1383,7,42,14,10,14,13,Visual arts/graphic design/design and drafting,NA,High school diploma,Male,0,Working fulltime,40,NA,Someone else,Private,"Laborers and freight, stock, and material movers, hand",Married,Marriage between a man and a woman,White,Yes,3,Favor,Not legal,Other,NA,NA,Not too happy,Good,Routine,Ballot c,Too little,Too little,4,$25000 or more,$3000 to 3999,South Atlantic,6,Independent,Moderate,Too much,Too little,Too little,NA
1384,4,57,19,12,18,16,Engineering,NA,High school diploma,Male,3,Working fulltime,65,NA,Someone else,Private,Construction managers,Married,Marriage between a man and a woman,White,Yes,5,Oppose,Not legal,Protestant,No denomination,NA,Very happy,NA,NA,Ballot b,About right,Too little,4,Refused,$25000 or more,South Atlantic,6,Republican,Conservative,NA,NA,NA,NA
1385,1,41,18,18,20,NA,Criminology/criminal justice,NA,High school diploma,Female,4,Working fulltime,65,NA,Someone else,Government,Education administrators,Divorced,NA,White,Yes,3,Oppose,Legal,Protestant,United methodist,NA,Pretty happy,Good,Routine,Ballot c,About right,About right,1,$25000 or more,(Missing),South Atlantic,6,Democrat,Extremely liberal,NA,NA,NA,NA
1386,0,70,16,17,12,NA,Marketing,NA,High school diploma,Female,3,Retired,NA,NA,Someone else,Government,Legislators,Divorced,NA,White,Yes,4,NA,Legal,Protestant,United methodist,NA,Very happy,Good,Exciting,Ballot c,Too little,About right,1,$20000 - 24999,(Missing),South Atlantic,6,Democrat,Slightly liberal,NA,NA,NA,NA
1387,2,31,8,NA,14,15,NA,NA,NA,Male,NA,Working fulltime,38,NA,Someone else,Private,Retail salespersons,Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,NA,NA,NA,Pretty happy,Fair,Routine,Ballot a,Too little,Too much,2,$15000 - 19999,$10000 - 14999,South Atlantic,6,NA,Conservative,NA,NA,NA,NA
1388,2,68,14,8,9,14,Health,NA,Ged,Female,3,Retired,NA,NA,Someone else,Government,Occupational therapy assistants and aides,Married,Marriage between a man and a woman,White,Yes,5,Favor,Not legal,Protestant,Other,"Pentecostal Holiness, Holiness Pentecostal",Very happy,Good,Routine,Ballot c,About right,NA,2,$25000 or more,$20000 - 24999,South Atlantic,6,NA,Extrmly conservative,NA,About right,About right,NA
1389,1,38,20,16,12,20,Theology,NA,High school diploma,Female,1,Working fulltime,50,NA,Self-employed,Private,Clergy,Married,Marriage between a man and a woman,White,Yes,NA,Oppose,NA,Protestant,Other,Free Will Baptist,Pretty happy,Good,Routine,Ballot a,About right,About right,4,$25000 or more,$25000 or more,South Atlantic,3,NA,Moderate,NA,Too little,Too little,NA
1390,0,57,16,16,12,NA,NA,NA,High school diploma,Male,1,Keeping house,NA,NA,Someone else,Private,First-line supervisors of retail sales workers,Never married,NA,White,Yes,No govt action,Favor,NA,Protestant,United methodist,NA,Very happy,Good,Exciting,Ballot c,Too little,Too little,1,Refused,(Missing),South Atlantic,3,Democrat,Moderate,NA,NA,NA,NA
1391,2,38,15,12,12,12,Aviation/aeronatics,NA,High school diploma,Male,3,Working fulltime,60,NA,Someone else,Government,"Managers, all other",Married,Marriage between a man and a woman,White,Yes,4,Favor,Legal,Protestant,No denomination,NA,Pretty happy,Good,Exciting,Ballot c,About right,About right,2,$25000 or more,$25000 or more,South Atlantic,3,NA,Moderate,Too much,Too little,Too little,NA
1392,0,30,18,14,14,NA,Information technology,NA,High school diploma,Female,2,Working fulltime,50,NA,Someone else,Government,"Library assistants, clerical",Never married,NA,White,Yes,NA,Favor,NA,Protestant,Other,Mormon,Pretty happy,Good,Routine,Ballot a,Too little,About right,2,$25000 or more,$6000 to 6999,South Atlantic,3,Republican,Conservative,Too much,Too little,Too little,NA
1393,2,68,11,5,12,12,NA,NA,NA,Male,4,Working parttime,32,NA,Someone else,Private,"First-line supervisors of mechanics, installers, and repairers",Married,Marriage between a man and a woman,White,Yes,5,Favor,Not legal,Protestant,Other,Free Will Baptist,Pretty happy,Fair,Routine,Ballot c,About right,About right,2,$25000 or more,$20000 - 24999,South Atlantic,3,NA,Moderate,NA,NA,NA,NA
1394,2,75,12,NA,12,NA,NA,NA,High school diploma,Female,7,Retired,NA,NA,Someone else,Private,Tellers,Divorced,NA,White,Yes,Govt reduce diff,Favor,Not legal,Protestant,Other,"Pentecostal Holiness, Holiness Pentecostal",Pretty happy,NA,NA,Ballot b,Too little,Too little,1,Refused,(Missing),South Atlantic,3,NA,Extrmly conservative,Too much,NA,Too little,NA
1395,2,82,12,NA,7,12,NA,NA,Ged,Male,10,Working fulltime,NA,NA,Self-employed,Private,General and operations managers,Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,Protestant,Baptist-dk which,NA,Pretty happy,Good,Exciting,Ballot a,About right,Too little,2,$25000 or more,(Missing),South Atlantic,3,Democrat,Slghtly conservative,NA,NA,NA,NA
1396,2,71,19,12,NA,11,Theology,NA,High school diploma,Male,7,Retired,NA,NA,Someone else,Private,"Pipelayers, plumbers, pipefitters, and steamfitters",Married,Marriage between a man and a woman,White,Yes,5,Favor,Not legal,Protestant,No denomination,NA,Pretty happy,NA,NA,Ballot b,Too little,NA,2,$25000 or more,(Missing),South Atlantic,3,NA,Moderate,NA,NA,NA,NA
1397,3,44,9,10,NA,9,NA,NA,High school diploma,Male,9,Working fulltime,65,NA,Someone else,Private,Pest control workers,Married,Marriage between a man and a woman,White,Yes,NA,Favor,Legal,NA,NA,NA,Pretty happy,Fair,Routine,Ballot c,Too little,About right,1,$25000 or more,$25000 or more,South Atlantic,3,NA,Moderate,NA,NA,NA,NA
1398,3,82,13,12,13,NA,NA,NA,High school diploma,Female,3,Retired,NA,NA,Someone else,Private,Tellers,Widowed,NA,White,Yes,NA,Favor,NA,Protestant,Southern baptist,NA,Pretty happy,Good,Routine,Ballot a,About right,About right,1,$10000 - 14999,(Missing),South Atlantic,36,Democrat,Moderate,NA,NA,NA,NA
1399,3,69,12,12,NA,18,NA,NA,High school diploma,Female,NA,Retired,NA,NA,NA,NA,NA,Married,Marriage between a man and a woman,Other,No,Govt reduce diff,Oppose,Not legal,None,NA,NA,Very happy,Excellent,NA,Ballot c,About right,Too little,2,(Missing),(Missing),South Atlantic,36,Democrat,(Missing),Too much,Too little,Too little,47
1400,0,40,16,NA,12,NA,Communications/speech,NA,High school diploma,Male,3,Working fulltime,40,NA,Someone else,Government,Secondary school teachers,Never married,NA,Black,Yes,6,Favor,Legal,None,NA,NA,Pretty happy,NA,NA,Ballot b,Too little,Too much,1,$25000 or more,$25000 or more,South Atlantic,36,NA,Moderate,NA,NA,NA,NA
1401,2,61,12,NA,NA,NA,NA,NA,NA,Female,4,Working fulltime,25,NA,Someone else,Government,Cooks,Widowed,NA,Black,Yes,NA,NA,NA,Protestant,Other,Holiness; Church of Holiness,Pretty happy,Good,NA,Ballot a,NA,NA,1,Lt $1000,$25000 or more,South Atlantic,36,Democrat,Liberal,About right,About right,About right,NA
1402,1,70,11,NA,NA,12,NA,NA,Ged,Male,1,Retired,NA,NA,Someone else,Private,Electrical power-line installers and repairers,Married,Marriage between a man and a woman,White,Yes,3,Favor,Legal,Protestant,Baptist-dk which,NA,Very happy,NA,NA,Ballot b,Too much,Too much,2,$20000 - 24999,(Missing),South Atlantic,36,NA,Conservative,Too much,About right,Too little,NA
1403,2,57,13,14,15,16,NA,NA,High school diploma,Female,2,Working fulltime,40,NA,Someone else,Private,Medical transcriptionists,Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,Protestant,Methodist-dk which,NA,Very happy,Excellent,Exciting,Ballot a,Too little,About right,2,$25000 or more,$20000 - 24999,South Atlantic,36,NA,Moderate,NA,NA,NA,NA
1404,0,37,16,18,9,NA,Psychology,NA,High school diploma,Female,3,Working fulltime,40,NA,Someone else,Government,Registered nurses,Never married,NA,White,Yes,2,Oppose,NA,Protestant,Southern baptist,NA,Not too happy,Fair,Exciting,Ballot c,NA,NA,1,$25000 or more,$25000 or more,South Atlantic,36,Democrat,Liberal,NA,Too little,Too little,NA
1405,3,64,15,NA,12,14,Theology,NA,High school diploma,Male,5,Retired,NA,NA,Someone else,Private,Sewing machine operators,Married,Marriage between a man and a woman,Black,Yes,4,Oppose,Not legal,Protestant,Other,Holiness; Church of Holiness,Pretty happy,NA,NA,Ballot b,About right,About right,2,$25000 or more,(Missing),South Atlantic,36,Democrat,Extremely liberal,NA,NA,NA,NA
1406,4,74,18,7,8,NA,English,NA,High school diploma,Female,2,Retired,NA,NA,Someone else,Government,Librarians,Widowed,NA,Black,Yes,NA,NA,NA,Protestant,Other,7th Day Adventist,Pretty happy,Good,Exciting,Ballot a,About right,Too little,1,$25000 or more,(Missing),South Atlantic,36,Democrat,Slightly liberal,NA,About right,About right,NA
1407,3,71,12,NA,NA,NA,NA,NA,High school diploma,Female,0,Retired,NA,NA,Someone else,Government,Elementary and middle school teachers,Separated,NA,Black,Yes,Govt reduce diff,NA,NA,Protestant,Afr meth ep zion,NA,Pretty happy,Good,Exciting,Ballot c,Too little,Too little,1,$10000 - 14999,(Missing),South Atlantic,36,Democrat,Moderate,NA,NA,NA,NA
1408,0,22,14,NA,16,NA,NA,NA,High school diploma,Male,1,School,NA,NA,Someone else,Private,"First-line supervisors of mechanics, installers, and repairers",Never married,NA,White,Yes,3,Favor,Legal,Protestant,Other,Pentecostal,Pretty happy,Good,Routine,Ballot c,About right,About right,3,$25000 or more,$20000 - 24999,South Atlantic,9,NA,Extrmly conservative,About right,Too little,About right,NA
1409,0,26,10,6,10,NA,NA,NA,NA,Female,1,Keeping house,NA,NA,Someone else,Government,Cashiers,Never married,NA,White,Yes,NA,Oppose,NA,None,NA,NA,Not too happy,Poor,Dull,Ballot a,About right,Too little,3,$20000 - 24999,$7000 to 7999,South Atlantic,9,Independent,Slightly liberal,NA,NA,NA,NA
1410,2,52,13,8,NA,9,NA,NA,High school diploma,Female,3,Working fulltime,40,NA,Someone else,Government,First-line supervisors of office and administrative support workers,Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,Protestant,Other,Free Will Baptist,Pretty happy,Fair,Routine,Ballot a,About right,About right,3,$25000 or more,$25000 or more,South Atlantic,17,Republican,Moderate,NA,Too little,Too little,NA
1411,3,84,12,3,2,NA,NA,NA,High school diploma,Female,6,Retired,NA,NA,Someone else,Private,Miscellaneous assemblers and fabricators,Widowed,NA,Black,Yes,No govt action,Oppose,Not legal,Protestant,Baptist-dk which,NA,Pretty happy,Good,Exciting,Ballot c,About right,About right,2,$25000 or more,(Missing),South Atlantic,17,Independent,Conservative,NA,NA,NA,NA
1412,NA,22,10,NA,NA,NA,NA,NA,NA,Male,6,"Unempl, laid off",NA,NA,Someone else,Private,Security guards and gaming surveillance officers,Never married,NA,Other,Yes,NA,Favor,NA,None,NA,NA,Pretty happy,Poor,Routine,Ballot a,About right,About right,2,$25000 or more,(Missing),South Atlantic,17,NA,Moderate,NA,NA,NA,NA
1413,0,28,13,NA,13,NA,NA,NA,High school diploma,Male,3,Working fulltime,48,NA,Someone else,Private,"Carpet, floor, and tile installers and finishers",Never married,NA,Black,Yes,3,Oppose,Legal,Protestant,Baptist-dk which,NA,Pretty happy,Excellent,Exciting,Ballot c,About right,About right,2,$20000 - 24999,$7000 to 7999,South Atlantic,17,Democrat,Moderate,About right,Too little,About right,NA
1414,2,60,12,12,12,NA,NA,NA,High school diploma,Female,2,Working fulltime,46,NA,Someone else,Private,Accountants and auditors,Divorced,NA,White,Yes,NA,Favor,NA,Protestant,Presbyterian-dk wh,NA,Pretty happy,Excellent,Exciting,Ballot a,About right,About right,1,$25000 or more,$25000 or more,South Atlantic,17,Republican,Moderate,Too much,Too little,Too little,NA
1415,0,31,15,14,11,NA,NA,NA,High school diploma,Female,7,Working parttime,25,NA,Someone else,Private,"Nursing, psychiatric, and home health aides",Never married,NA,Black,Yes,Govt reduce diff,Oppose,NA,Protestant,Baptist-dk which,NA,Not too happy,NA,NA,Ballot b,Too little,About right,1,$10000 - 14999,$5000 to 5999,South Atlantic,17,Democrat,Moderate,Too much,Too little,Too little,NA
1416,5,45,15,12,NA,NA,NA,NA,High school diploma,Male,2,Working fulltime,60,NA,Someone else,Private,"Molders, shapers, and casters, except metal and plastic",Divorced,NA,Black,Yes,NA,Oppose,NA,Protestant,Other,"Pentecostal Holiness, Holiness Pentecostal",Not too happy,Fair,Routine,Ballot a,Too little,About right,1,$25000 or more,$25000 or more,South Atlantic,17,NA,Moderate,NA,NA,NA,NA
1417,0,49,14,12,12,12,NA,NA,High school diploma,Male,2,Working fulltime,40,NA,Someone else,Government,First-line supervisors of housekeeping and janitorial workers,Married,Marriage between a man and a woman,Black,Yes,Govt reduce diff,Favor,Legal,Protestant,Southern baptist,NA,Very happy,NA,NA,Ballot b,Too little,Too little,3,$25000 or more,$25000 or more,South Atlantic,17,Democrat,Liberal,NA,NA,NA,NA
1418,5,32,10,NA,7,NA,NA,NA,NA,Female,4,Working fulltime,35,NA,Someone else,Private,Maids and housekeeping cleaners,Never married,NA,White,Yes,NA,Favor,NA,None,NA,NA,Pretty happy,Good,Dull,Ballot a,About right,Too little,2,$3000 to 3999,(Missing),South Atlantic,17,NA,Moderate,About right,About right,Too little,NA
1419,5,43,11,NA,14,NA,NA,NA,NA,Female,9,Working parttime,24,NA,Someone else,Private,Maids and housekeeping cleaners,Divorced,NA,Black,Yes,No govt action,Favor,Legal,None,NA,NA,Not too happy,Good,Dull,Ballot c,Too little,Too little,1,$8000 to 9999,$8000 to 9999,South Atlantic,17,Democrat,Moderate,NA,NA,NA,NA
1420,3,45,14,NA,12,NA,NA,NA,High school diploma,Female,12,Working fulltime,43,NA,Someone else,Government,First-line supervisors of correctional officers,Divorced,NA,Black,Yes,Govt reduce diff,Favor,Legal,Protestant,Afr meth episcopal,NA,Pretty happy,NA,NA,Ballot b,About right,About right,4,$25000 or more,$25000 or more,South Atlantic,17,Democrat,Moderate,About right,Too little,Too little,NA
1421,2,65,14,12,12,16,NA,NA,Ged,Male,6,Retired,NA,NA,Someone else,Private,Electricians,Married,Marriage between a man and a woman,White,Yes,NA,Oppose,NA,Catholic,NA,NA,Very happy,Excellent,Exciting,Ballot a,Too little,Too little,2,$25000 or more,(Missing),South Atlantic,5,Democrat,Liberal,NA,NA,NA,NA
1422,2,32,14,12,16,NA,NA,NA,High school diploma,Female,3,Working parttime,30,NA,Self-employed,Private,Personal care aides,Never married,NA,White,Yes,3,Favor,Legal,None,NA,NA,Pretty happy,Good,Exciting,Ballot c,About right,About right,4,$10000 - 14999,(Missing),South Atlantic,5,Independent,Liberal,Too much,Too little,Too little,NA
1423,1,23,11,12,12,NA,NA,NA,NA,Female,2,Keeping house,NA,NA,Someone else,Private,Recreation and fitness workers,Never married,NA,White,Yes,Govt reduce diff,Favor,Legal,None,NA,NA,Pretty happy,NA,NA,Ballot b,About right,About right,3,$25000 or more,$3000 to 3999,South Atlantic,5,Independent,Liberal,About right,Too little,Too little,NA
1424,2,52,18,12,12,16,Psychology,NA,High school diploma,Male,0,Working fulltime,50,NA,Self-employed,Private,"Therapists, all other",Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,Protestant,United methodist,NA,Pretty happy,Good,Routine,Ballot a,About right,Too little,3,$25000 or more,$25000 or more,South Atlantic,5,NA,Conservative,Too much,Too little,Too little,NA
1425,2,58,16,12,12,14,General sciences,NA,High school diploma,Female,2,Working fulltime,40,NA,Someone else,Private,Secretaries and administrative assistants,Married,Marriage between a man and a woman,White,Yes,3,Oppose,Legal,Protestant,United methodist,NA,Pretty happy,Good,Exciting,Ballot c,Too little,Too little,2,$25000 or more,$25000 or more,South Atlantic,5,Independent,Liberal,About right,Too little,Too little,NA
1426,0,21,15,NA,12,NA,NA,NA,High school diploma,Female,5,Working parttime,36,NA,Someone else,Private,Retail salespersons,Never married,NA,White,Yes,4,Favor,Not legal,Catholic,NA,NA,Pretty happy,NA,NA,Ballot b,Too much,Too much,7,(Missing),$5000 to 5999,South Atlantic,5,Republican,Moderate,NA,NA,NA,NA
1427,1,77,16,8,12,NA,General sciences,Business administration,High school diploma,Female,0,Retired,NA,NA,Someone else,Private,Marketing and sales managers,Widowed,NA,White,Yes,4,Oppose,Legal,Protestant,Lutheran-mo synod,NA,Pretty happy,Excellent,Exciting,Ballot c,Too little,Too little,1,$25000 or more,$4000 to 4999,South Atlantic,5,Independent,Moderate,NA,NA,NA,NA
1428,4,86,10,4,5,12,NA,NA,NA,Male,5,Retired,NA,NA,Someone else,Private,Electricians,Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,Protestant,Southern baptist,NA,Very happy,Excellent,Exciting,Ballot a,About right,Too little,2,$25000 or more,(Missing),South Atlantic,12,NA,Extrmly conservative,NA,NA,NA,NA
1429,2,52,14,8,12,NA,Education,NA,High school diploma,Female,4,Working parttime,12,NA,Someone else,Government,"Therapists, all other",Divorced,NA,White,Yes,Govt reduce diff,Oppose,Not legal,Catholic,NA,NA,Pretty happy,Good,Routine,Ballot c,Too little,Too little,2,(Missing),$25000 or more,South Atlantic,12,Democrat,Moderate,About right,Too little,Too little,NA
1430,2,66,16,9,12,NA,Business administration,NA,High school diploma,Male,0,Retired,NA,NA,Someone else,Government,Accountants and auditors,Divorced,NA,White,Yes,NA,Favor,NA,Protestant,Baptist-dk which,NA,Pretty happy,Excellent,Exciting,Ballot a,Too little,About right,1,$25000 or more,(Missing),South Atlantic,12,NA,Moderate,NA,NA,NA,NA
1431,5,72,14,8,6,NA,NA,NA,High school diploma,Female,1,Retired,NA,NA,Someone else,Private,"Hairdressers, hairstylists, and cosmetologists",Widowed,NA,White,Yes,Govt reduce diff,NA,Not legal,Protestant,Other,Pentecostal,Pretty happy,NA,NA,Ballot b,About right,Too little,2,Refused,(Missing),South Atlantic,12,NA,Slghtly conservative,NA,NA,NA,NA
1432,1,47,14,NA,14,NA,NA,NA,Ged,Female,1,Working fulltime,40,NA,Someone else,Private,"Counter attendants, cafeteria, food concession, and coffee shop",Divorced,NA,White,Yes,NA,Favor,NA,Protestant,Southern baptist,NA,Pretty happy,Good,Routine,Ballot a,About right,About right,1,$25000 or more,$25000 or more,South Atlantic,25,Republican,Conservative,Too little,Too little,Too little,NA
1433,0,58,16,11,10,NA,Theology,NA,High school diploma,Male,1,Working fulltime,48,NA,Someone else,Government,Aircraft mechanics and service technicians,Never married,NA,White,Yes,No govt action,Favor,Not legal,Protestant,United methodist,NA,Pretty happy,NA,NA,Ballot b,Too much,About right,1,$25000 or more,$25000 or more,South Atlantic,25,NA,Conservative,Too little,About right,Too little,NA
1434,0,35,15,NA,9,NA,Social work,Health,High school diploma,Female,5,Working fulltime,50,NA,Someone else,Private,Social workers,Divorced,NA,Black,No,NA,Favor,NA,Catholic,NA,NA,Pretty happy,Excellent,Routine,Ballot a,Too little,About right,1,$25000 or more,$25000 or more,South Atlantic,25,Democrat,Liberal,NA,NA,NA,14
1435,1,50,14,16,16,NA,Law,NA,High school diploma,Female,12,Working fulltime,70,NA,Someone else,Private,Financial managers,Separated,NA,Black,Yes,No govt action,Oppose,Not legal,Protestant,No denomination,NA,Very happy,Fair,Exciting,Ballot c,Too little,Too little,1,$25000 or more,$25000 or more,South Atlantic,25,NA,Moderate,Too much,Too little,Too little,NA
1436,2,84,17,18,7,NA,Education,NA,High school diploma,Female,1,Retired,NA,NA,Someone else,Government,"Other education, training, and library workers",Widowed,NA,White,Yes,6,Favor,Not legal,Protestant,Southern baptist,NA,Very happy,NA,NA,Ballot b,NA,NA,1,(Missing),(Missing),South Atlantic,25,NA,Extrmly conservative,NA,NA,NA,NA
1437,0,22,15,NA,16,NA,NA,NA,High school diploma,Male,2,School,NA,NA,Someone else,Private,Bartenders,Never married,NA,Black,Yes,Govt reduce diff,Oppose,Legal,Protestant,No denomination,NA,Not too happy,Good,Routine,Ballot c,Too little,Too little,1,$25000 or more,(Missing),South Atlantic,25,Democrat,Slightly liberal,NA,NA,NA,NA
1438,3,29,17,16,16,NA,Education,Mathmatics,High school diploma,Female,4,Working fulltime,40,NA,Someone else,Government,Secondary school teachers,Never married,NA,Black,Yes,4,Favor,Not legal,Protestant,Other,Missionary Baptist,Very happy,NA,NA,Ballot b,Too little,Too little,4,$25000 or more,$25000 or more,South Atlantic,25,Independent,Slightly liberal,About right,Too little,Too little,NA
1439,1,26,12,NA,12,NA,NA,NA,High school diploma,Male,8,Working fulltime,35,NA,Someone else,Private,First-line supervisors of non-retail sales workers,Separated,NA,Black,Yes,NA,Oppose,NA,Protestant,No denomination,NA,Very happy,Fair,Exciting,Ballot a,About right,About right,4,$20000 - 24999,$20000 - 24999,South Atlantic,25,Independent,Extrmly conservative,NA,NA,NA,NA
1440,0,24,16,12,12,16,Biology,NA,High school diploma,Female,1,Working fulltime,50,NA,Someone else,Private,General and operations managers,Married,Marriage between a man and a woman,White,Yes,4,NA,NA,None,NA,NA,Very happy,Good,Routine,Ballot c,About right,About right,2,(Missing),(Missing),South Atlantic,91,Independent,Slightly liberal,NA,Too little,NA,NA
1441,2,NA,12,NA,12,NA,NA,NA,High school diploma,Female,3,Working parttime,16,NA,Someone else,Private,Billing and posting clerks,Married,Marriage between a man and a woman,White,Yes,NA,Oppose,NA,Protestant,No denomination,NA,Pretty happy,Good,Exciting,Ballot a,About right,About right,2,$20000 - 24999,$20000 - 24999,South Atlantic,91,NA,Moderate,NA,Too little,Too little,NA
1442,0,38,14,12,14,12,82,Theology,High school diploma,Male,2,Other,NA,NA,Someone else,Private,First-line supervisors of office and administrative support workers,Married,Marriage between people of the same gender,White,Yes,4,Favor,Legal,Other,NA,NA,Very happy,Good,Exciting,Ballot c,About right,Too little,2,$15000 - 19999,(Missing),South Atlantic,91,Independent,Moderate,NA,NA,NA,NA
1443,0,31,16,NA,18,NA,History,NA,High school diploma,Male,3,Working fulltime,40,NA,Someone else,Private,"Sales representatives,  wholesale and manufacturing",Never married,NA,White,Yes,6,Favor,Legal,Protestant,No denomination,NA,Pretty happy,Good,Routine,Ballot c,Too little,About right,1,$25000 or more,$25000 or more,South Atlantic,91,Democrat,Slightly liberal,About right,Too little,About right,NA
1444,1,31,16,NA,15,NA,Business administration,NA,High school diploma,Female,7,Keeping house,NA,NA,NA,NA,Writers and authors,Never married,NA,White,Yes,NA,NA,NA,None,NA,NA,Pretty happy,Good,Exciting,Ballot a,Too little,Too little,1,$25000 or more,(Missing),South Atlantic,91,Independent,Extremely liberal,Too little,Too little,NA,NA
1445,0,30,16,NA,20,NA,Economics,Foreign language,High school diploma,Female,3,School,NA,NA,Someone else,Private,Travel agents,Never married,NA,Black,Yes,3,Oppose,Legal,None,NA,NA,Not too happy,Good,Exciting,Ballot c,Too little,Too little,2,Lt $1000,$20000 - 24999,South Atlantic,91,NA,Liberal,NA,NA,NA,NA
1446,2,46,18,18,16,18,Health,NA,High school diploma,Male,1,Working fulltime,60,NA,Self-employed,Private,Miscellaneous health technologists and technicians,Married,Marriage between a man and a woman,White,Yes,6,Favor,Legal,Protestant,Episcopal,NA,Pretty happy,NA,NA,Ballot b,About right,About right,2,Refused,Refused,South Atlantic,91,Republican,Extremely liberal,NA,NA,NA,NA
1447,2,49,16,12,12,NA,Criminology/criminal justice,NA,High school diploma,Male,2,Working fulltime,89,NA,Self-employed,Private,"First-line supervisors of mechanics, installers, and repairers",Never married,NA,Black,Yes,No govt action,Oppose,Legal,Protestant,Baptist-dk which,NA,Not too happy,Fair,Exciting,Ballot c,Too little,Too little,1,$10000 - 14999,$10000 - 14999,South Atlantic,91,Democrat,Moderate,NA,NA,NA,NA
1448,0,29,10,NA,12,15,NA,NA,Ged,Male,1,Working fulltime,40,NA,Someone else,Private,Chefs and head cooks,Married,Marriage between a man and a woman,White,Yes,NA,Favor,NA,None,NA,NA,Pretty happy,Good,Routine,Ballot a,About right,Too little,3,$25000 or more,$20000 - 24999,South Atlantic,67,Independent,Moderate,Too much,About right,Too little,NA
